CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,REPORTING_DISTRICT,DAY_OF_WEEK,POPULATION,PRIMARY_RD,SECONDARY_RD,INTERSECTION,WEATHER_1,STATE_HWY_IND,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,LIGHTING,CONTROL_DEVICE,BICYCLE_ACCIDENT,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,CITY
5496832,2011,2012-05-25,9650,2011-12-30,2224,,5,9,EL CAMINIO REAL,CRISTIANITOS RD,N,B,N,3,0,1,2,A,N,H,G,A,A,H,D,D,Y,Y,J,48,0,1,0,0,1,UNINCORPORATED
5475559,2012,2013-07-11,9650,2012-01-06,600,,5,9,CRISTIANITOS RD,EL CAMINIO REAL,N,A,N,3,0,1,2,A,F,C,G,A,A,H,D,D,Y,,D,22,0,1,0,0,1,UNINCORPORATED
90357487,2016,2017-01-30,9650,2016-12-20,1140,,2,9,OLD PACIFIC HIGHWAY,BASILONE RD,N,A,N,4,0,1,2,D,N,D,G,A,A,H,A,A,Y,,-,- ,0,0,1,0,1,UNINCORPORATED
6477049,2014,2014-07-11,9680,2014-04-24,2125,,4,9,D ST,6TH ST,N,A,N,3,0,1,1,A,N,F,A,A,A,H,D,D,Y,Y,L,4,0,1,0,0,1,UNINCORPORATED
6211579,2013,2014-04-07,9680,2013-09-04,1440,,3,9,6TH ST,E ST,N,A,N,3,0,1,2,A,N,H,G,A,A,H,A,A,Y,,L,4,0,1,0,0,1,UNINCORPORATED
4973774,2010,2011-11-30,9680,2010-11-09,1230,,2,9,B ST,5TH ST,N,A,N,3,0,1,2,A,N,F,A,A,A,H,A,D,Y,,A,7,0,1,0,0,1,UNINCORPORATED
4585738,2010,2010-11-15,9650,2010-01-12,1010,,2,9,LAS PULGAS RD,RT 5,N,A,N,3,0,2,2,A,N,D,G,A,A,H,A,D,Y,,L,4,0,1,1,0,2,UNINCORPORATED
4852721,2010,2011-09-02,9680,2010-08-07,1840,,6,9,B ST,8TH ST,N,A,N,4,0,1,2,A,M,H,G,A,A,H,A,D,Y,,L,4,0,0,1,0,1,UNINCORPORATED
4405390,2009,2010-06-11,9680,2009-09-18,1023,,5,9,B ST,7TH ST,N,A,N,3,0,1,2,A,N,D,G,A,A,H,A,D,Y,,L,4,0,1,0,0,1,UNINCORPORATED
6160014,2013,2014-03-14,3710,2013-07-12,1510,,5,6,NORTH PACIFIC ST,HARBOR DR,N,A,N,3,0,1,2,A,N,B,G,A,A,H,A,D,Y,,L,4,0,1,0,0,1,OCEANSIDE
